date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
01/01/2026;16:22;Varanges;-2;86;0;0
01/01/2026;16:22;Genlis;-1.7;87;0;0
02/01/2026;02:08;Varanges;-2.8;91;0;0
02/01/2026;03:48;Varanges;-3.2;90;0;0
02/01/2026;04:45;Varanges;-3.1;90;0;0
02/01/2026;04:45;Genlis;-3;91;0;0
02/01/2026;05:30;Varanges;-2.8;91;0;0
02/01/2026;05:56;Varanges;-2.6;91;0;0
02/01/2026;06:46;Varanges;-2.2;91;0;0
02/01/2026;07:28;Varanges;-1.8;91;0;0
02/01/2026;07:46;Varanges;-1.7;91;0;0
02/01/2026;08:35;Varanges;-1.2;91;0;0
02/01/2026;09:00;Varanges;-0.9;90;0;0
02/01/2026;09:00;Genlis;-0.9;91;0;0
02/01/2026;09:39;Varanges;0.2;89;0;0
02/01/2026;09:39;Genlis;-0.3;90;0;0
02/01/2026;09:55;Varanges;0.8;91;0;0
02/01/2026;09:55;Genlis;0;90;0;0
02/01/2026;10:27;Varanges;2.1;88;0;0
02/01/2026;10:27;Genlis;1.2;88;0;0
02/01/2026;10:47;Varanges;2.5;88;0;0
02/01/2026;10:47;Genlis;1.7;87;0;0
02/01/2026;11:22;Varanges;2.5;87;0;0
02/01/2026;11:22;Genlis;2.2;86;0;0
02/01/2026;11:41;Varanges;2.5;87;0;0
02/01/2026;11:41;Genlis;2.2;86;0;0
02/01/2026;11:54;Varanges;2.5;87;0;0
02/01/2026;11:54;Genlis;2;87;0;0
02/01/2026;12:52;Varanges;2.7;88;0;0
02/01/2026;12:52;Genlis;2.7;89;0;0
02/01/2026;13:35;Varanges;3.4;88;0;0
02/01/2026;13:35;Genlis;3;88;0;0
02/01/2026;13:56;Varanges;3;87;0;0
02/01/2026;13:56;Genlis;2.6;89;0;0
02/01/2026;14:29;Varanges;2.9;88;0;0
02/01/2026;14:29;Genlis;2.3;89;0;0
02/01/2026;14:49;Varanges;2.3;88;0;0
02/01/2026;14:49;Genlis;2;90;0;0
02/01/2026;15:27;Varanges;1.8;89;0;0
02/01/2026;15:27;Genlis;1.6;91;0;0
02/01/2026;15:46;Varanges;1.4;89;0;0
02/01/2026;15:46;Genlis;1.5;91;0;0
02/01/2026;16:32;Varanges;-0.1;90;0;0
02/01/2026;16:32;Genlis;0.3;91;0;0
02/01/2026;16:58;Genlis;-0.3;94;0;0
02/01/2026;17:27;Genlis;-0.8;94;0;0
02/01/2026;17:44;Genlis;-0.8;96;0;0
02/01/2026;18:58;Genlis;0.3;96;0;0
02/01/2026;19:21;Genlis;0.4;96;0;0
02/01/2026;20:28;Varanges;0.1;95;0;0
02/01/2026;20:47;Varanges;0.1;95;0;0
02/01/2026;21:23;Varanges;0.1;96;0;0
02/01/2026;21:23;Genlis;0.1;97;0;0
02/01/2026;21:41;Varanges;0;96;0;0
02/01/2026;21:41;Genlis;0;97;0;0
02/01/2026;21:53;Varanges;-0.1;96;0;0
02/01/2026;21:53;Genlis;-0.1;97;0;0
02/01/2026;22:25;Varanges;-0.7;95;0;0
02/01/2026;22:25;Genlis;-0.8;96;0;0
02/01/2026;22:46;Varanges;-0.3;96;0;0
02/01/2026;22:46;Genlis;-0.5;97;0;0
03/01/2026;01:58;Varanges;-4.3;95;0;0
03/01/2026;03:36;Varanges;-5.9;95;0;0
03/01/2026;06:59;Genlis;-8.7;91;0;0
03/01/2026;07:27;Genlis;-8.9;91;0;0
03/01/2026;07:43;Genlis;-8.8;92;0;0
03/01/2026;07:55;Varanges;-8.5;94;0;0
03/01/2026;08:33;Varanges;-7.8;95;0;0
03/01/2026;08:57;Varanges;-6.2;96;0;0
03/01/2026;08:57;Genlis;-6.7;97;0;0
03/01/2026;09:29;Varanges;-4.6;97;0;0
03/01/2026;09:29;Genlis;-3.9;97;0;0
03/01/2026;09:45;Varanges;-3.5;97;0;0
03/01/2026;09:45;Genlis;-2.2;97;0;0
03/01/2026;10:26;Varanges;-1.9;97;0;0
03/01/2026;10:26;Genlis;-0.2;97;0;0
03/01/2026;10:46;Varanges;-0.7;98;0;0
03/01/2026;10:46;Genlis;0.6;96;0;0
03/01/2026;11:20;Varanges;0;97;0;0
03/01/2026;11:20;Genlis;0.6;96;0;0
03/01/2026;11:40;Varanges;0.9;97;0;0
03/01/2026;11:40;Genlis;0.8;96;0;0
03/01/2026;11:53;Varanges;1.2;96;0;0
03/01/2026;11:53;Genlis;1;96;0;0
03/01/2026;12:50;Varanges;1.8;94;0;0
03/01/2026;12:50;Genlis;1.2;96;0;0
03/01/2026;13:32;Varanges;1.8;92;0;0
03/01/2026;13:32;Genlis;1.5;95;0;0
03/01/2026;13:53;Varanges;1.5;92;0;0
03/01/2026;13:53;Genlis;1.4;94;0;0
03/01/2026;14:23;Varanges;1.5;92;0;0
03/01/2026;14:23;Genlis;1.3;93;0;0
03/01/2026;14:43;Varanges;1.2;92;0;0
03/01/2026;14:43;Genlis;1.2;91;0;0
03/01/2026;14:56;Varanges;0.9;92;0;0
03/01/2026;14:56;Genlis;1.1;90;0;0
03/01/2026;15:27;Varanges;0.3;92;0;0
03/01/2026;15:27;Genlis;0.6;91;0;0
03/01/2026;15:43;Varanges;-0.1;93;0;0
03/01/2026;15:43;Genlis;0.5;92;0;0
03/01/2026;15:56;Varanges;-0.2;93;0;0
03/01/2026;15:56;Genlis;0.1;93;0;0
03/01/2026;16:34;Varanges;-0.5;94;0;0
03/01/2026;16:34;Genlis;-0.2;94;0;0
03/01/2026;16:55;Genlis;-0.3;95;0;0
03/01/2026;17:23;Genlis;-0.4;95;0;0
03/01/2026;17:42;Genlis;-0.7;94;0;0
03/01/2026;17:54;Varanges;-0.9;94;0;0
03/01/2026;17:54;Genlis;-0.8;95;0;0
03/01/2026;18:35;Varanges;-0.9;94;0;0
03/01/2026;18:35;Genlis;-0.9;96;0;0
03/01/2026;18:57;Varanges;-1.2;94;0;0
03/01/2026;18:57;Genlis;-1.1;95;0;0
03/01/2026;19:22;Varanges;-1.4;95;0;0
03/01/2026;19:22;Genlis;-1.3;96;0;0
03/01/2026;19:39;Varanges;-1.4;95;0;0
03/01/2026;19:39;Genlis;-1.4;96;0;0
03/01/2026;19:52;Varanges;-1.5;95;0;0
03/01/2026;19:52;Genlis;-1.6;96;0;0
03/01/2026;20:27;Varanges;-2.5;93;0;0
03/01/2026;20:27;Genlis;-3.1;92;0;0
03/01/2026;20:46;Varanges;-3.3;93;0;0
03/01/2026;20:46;Genlis;-3.9;92;0;0
03/01/2026;21:53;Varanges;-4.3;95;0;0
03/01/2026;21:53;Genlis;-4.9;94;0;0
03/01/2026;22:24;Varanges;-4.6;94;0;0
03/01/2026;22:24;Genlis;-4.8;95;0;0
03/01/2026;22:45;Varanges;-5.1;94;0;0
03/01/2026;22:45;Genlis;-5.8;92;0;0
03/01/2026;22:57;Varanges;-5.4;94;0;0
03/01/2026;22:57;Genlis;-6;93;0;0
03/01/2026;23:27;Varanges;-5.8;94;0;0
03/01/2026;23:27;Genlis;-6.5;93;0;0
03/01/2026;23:44;Varanges;-6.3;94;0;0
03/01/2026;23:44;Genlis;-6.6;93;0;0
04/01/2026;02:34;Varanges;-7.8;93;0;0
04/01/2026;02:34;Genlis;-8.4;92;0;0
04/01/2026;04:05;Varanges;-8.3;94;0;0
04/01/2026;04:05;Genlis;-8.9;93;0;0
04/01/2026;04:58;Varanges;-8;94;0;0
04/01/2026;04:58;Genlis;-8.7;94;0;0
04/01/2026;05:35;Varanges;-7.1;95;0;0
04/01/2026;05:35;Genlis;-7.4;97;0;0
04/01/2026;05:56;Varanges;-6.5;95;0;0
04/01/2026;05:56;Genlis;-7;97;0;0
04/01/2026;06:42;Varanges;-5.7;95;0;0
04/01/2026;06:42;Genlis;-5.8;97;0;0
04/01/2026;07:01;Varanges;-5.5;95;0;0
04/01/2026;07:01;Genlis;-5.8;97;0;0
04/01/2026;07:33;Varanges;-5.6;95;0;0
04/01/2026;07:33;Genlis;-6.4;95;0;0
04/01/2026;07:52;Varanges;-5.8;95;0;0
04/01/2026;07:52;Genlis;-6.1;96;0;0
04/01/2026;08:33;Varanges;-5.9;95;0;0
04/01/2026;08:33;Genlis;-6.2;96;0;0
04/01/2026;09:56;Varanges;-2.5;97;0;0
04/01/2026;09:56;Genlis;-1.6;97;0;0
04/01/2026;10:29;Varanges;-1.5;97;0;0
04/01/2026;10:29;Genlis;0;97;0;0
04/01/2026;10:47;Varanges;-1.3;96;0;0
04/01/2026;10:47;Genlis;0.1;96;0;0
04/01/2026;11:20;Varanges;-0.9;96;0;0
04/01/2026;11:40;Varanges;-0.7;95;0;0
04/01/2026;11:53;Varanges;-0.6;95;0;0
04/01/2026;11:53;Genlis;-0.2;96;0;0
04/01/2026;13:27;Varanges;1.5;92;0;0
04/01/2026;13:27;Genlis;-1;95;0;0
04/01/2026;13:33;Varanges;1.5;92;0;0
04/01/2026;13:33;Genlis;-0.9;95;0;0
04/01/2026;13:53;Varanges;1.5;91;0;0
04/01/2026;13:53;Genlis;-0.8;95;0;0
04/01/2026;14:23;Varanges;0.7;89;0;0
04/01/2026;14:23;Genlis;-0.6;95;0;0
04/01/2026;14:43;Varanges;0.4;90;0;0
04/01/2026;14:43;Genlis;-0.5;95;0;0
04/01/2026;14:55;Varanges;0.2;90;0;0
04/01/2026;14:55;Genlis;-0.5;94;0;0
04/01/2026;15:25;Varanges;-0.4;90;0;0
04/01/2026;15:25;Genlis;-1.2;92;0;0
04/01/2026;15:42;Varanges;-0.9;90;0;0
04/01/2026;15:42;Genlis;-1.4;92;0;0
04/01/2026;15:55;Varanges;-1.1;91;0;0
04/01/2026;15:55;Genlis;-1.7;94;0;0
04/01/2026;16:30;Varanges;-1.3;91;0;0
04/01/2026;16:30;Genlis;-1.7;95;0;0
04/01/2026;16:55;Varanges;-1.3;91;0;0
04/01/2026;16:55;Genlis;-1.7;95;0;0
04/01/2026;17:23;Varanges;-1.3;92;0;0
04/01/2026;17:23;Genlis;-1.7;96;0;0
04/01/2026;17:43;Varanges;-1.3;92;0;0
04/01/2026;17:43;Genlis;-1.6;95;0;0
04/01/2026;17:54;Varanges;-1.3;92;0;0
04/01/2026;18:35;Varanges;-2;90;0;0
04/01/2026;18:57;Varanges;-3;90;0;0
04/01/2026;18:57;Genlis;-4.4;88;0;0
04/01/2026;19:23;Varanges;-4.3;91;0;0
04/01/2026;19:23;Genlis;-4.9;92;0;0
04/01/2026;19:40;Varanges;-4.7;92;0;0
04/01/2026;19:40;Genlis;-4.8;94;0;0
04/01/2026;19:52;Varanges;-4.6;93;0;0
04/01/2026;19:52;Genlis;-4.8;95;0;0
04/01/2026;20:28;Varanges;-4.7;93;0;0
04/01/2026;20:28;Genlis;-5.1;94;0;0
04/01/2026;20:47;Varanges;-5;93;0;0
04/01/2026;20:47;Genlis;-5.5;93;0;0
04/01/2026;21:23;Varanges;-5.4;94;0;0
04/01/2026;21:23;Genlis;-5.7;94;0;0
04/01/2026;21:41;Varanges;-5.4;94;0;0
04/01/2026;21:41;Genlis;-5.8;94;0;0
04/01/2026;21:54;Varanges;-5.6;93;0;0
04/01/2026;21:54;Genlis;-6.2;94;0;0
04/01/2026;22:25;Varanges;-5.8;93;0;0
04/01/2026;22:25;Genlis;-6.6;95;0;0
04/01/2026;22:45;Varanges;-5.5;94;0;0
04/01/2026;22:45;Genlis;-6;97;0;0
04/01/2026;23:24;Varanges;-5.1;94;0;0
04/01/2026;23:42;Varanges;-5.3;94;0;0
04/01/2026;23:55;Varanges;-5.5;93;0;0
04/01/2026;23:55;Genlis;-5.6;95;0;0
05/01/2026;04:07;Varanges;-8.7;93;0;0
05/01/2026;04:07;Genlis;-9.3;93;0;0
05/01/2026;05:07;Varanges;-8.9;93;0;0
05/01/2026;05:07;Genlis;-9.6;93;0;0
05/01/2026;05:51;Varanges;-9.7;92;0;0
05/01/2026;05:51;Genlis;-10;92;0;0
05/01/2026;06:47;Varanges;-9;94;0;0
05/01/2026;06:47;Genlis;-8.6;97;0;0
05/01/2026;07:32;Varanges;-6.6;95;0;0
05/01/2026;07:32;Genlis;-6.4;97;0;0
05/01/2026;07:57;Varanges;-6.1;95;0;0
05/01/2026;07:57;Genlis;-6.1;97;0;0
05/01/2026;08:46;Varanges;-5.7;95;0;0
05/01/2026;08:46;Genlis;-5.7;97;0;0
05/01/2026;09:38;Varanges;-5.1;95;0;0
05/01/2026;09:38;Genlis;-5;97;0;0
05/01/2026;09:59;Varanges;-5;95;0;0
05/01/2026;09:59;Genlis;-4.9;97;0;0
05/01/2026;10:37;Varanges;-4.8;95;0;0
05/01/2026;10:37;Genlis;-4.2;97;0;0
05/01/2026;10:58;Varanges;-4.7;95;0;0
05/01/2026;10:58;Genlis;-4.1;97;0;0
05/01/2026;11:28;Varanges;-4.3;96;0;0
05/01/2026;11:28;Genlis;-3.8;97;0;0
05/01/2026;11:45;Varanges;-4;96;0;0
05/01/2026;11:45;Genlis;-3.6;97;0;0
05/01/2026;12:57;Varanges;-3.8;95;0;0
05/01/2026;12:57;Genlis;-3.2;97;0;0
